1,571,3,956752487
1,574,3,956753607
1,2053,2,956755038
1,2054,3,956754653
1,2058,2,956753966
1,588,2,956716416
1,589,5,956712412
1,4,2,956753920
1,3005,2,956709526
1,6,3,956717530
1,3006,4,956710831
1,3008,5,956709885
1,1405,3,956753816
1,1407,3,956753549
1,2064,5,956711733
1,1408,3,956752377
1,2065,3,956716655
1,2069,4,956752131
1,590,4,956713910
1,592,3,956716516
1,593,5,956710974
1,594,5,956712862
1,596,3,956717201
1,599,4,956711642
1,3011,3,956716860
1,3014,2,956753816
1,3015,3,956717676
1,3016,3,956709578
1,1412,4,956710974
1,1413,4,956710440
1,3018,4,956712981
1,2070,4,956710231
1,3019,3,956712084
1,2071,3,956717447
1,2075,4,956710800
1,1419,4,956711123
1,2077,3,956752936
1,3022,5,956710440
1,3024,2,956754941
1,3028,5,956712527
1,2080,4,956752936
1,3029,2,956752454
1,2081,3,956752813
1,2083,3,956753549
1,1427,2,956753549
1,2089,3,956716416
1,3030,5,956710766
1,3032,3,956754833
1,3033,2,956754761
1,3034,5,956754230
1,900,4,956712367
1,2090,3,956753853
1,901,3,956752936
1,3039,3,956717638
1,2091,2,956755171
1,903,5,956710906
1,2093,3,956710117
1,2094,3,956754833
1,906,4,956717447
1,2097,3,956752866
1,3044,4,956717396
1,913,4,956710907
1,1447,4,956754274
1,914,3,956716445
1,915,4,956753311
1,1449,3,956754065
1,916,5,956711684
1,3052,3,956711529
1,3053,1,956709933
1,920,5,956716627
1,1454,2,956753886
1,921,3,956712474
1,922,5,956710871
1,924,5,956711378
1,1459,3,956754065
1,2401,4,956717123
1,3060,4,956717236
1,2407,3,956753248
1,2408,2,956755091
1,3067,3,956710871
1,930,5,956710941
1,3068,4,956711378
1,1465,3,956752866
1,3070,3,956753886
1,2414,3,956753112
1,3071,3,956716596
1,3075,4,956711157
1,2419,3,956753607
1,940,5,956712474
1,3079,3,956753060
1,942,5,956711642
1,1476,3,956753549
1,943,3,956717447
1,945,4,956714355
1,948,4,956716860
1,2420,3,956753725
1,3081,4,956710191
1,2425,4,956754097
1,2427,4,956717085
1,2428,2,956709350
1,3086,5,956713310
1,3088,3,956716445
1,951,4,956710871
1,3089,4,956711157
1,959,4,956712897
1,2433,3,956709578
1,3090,4,956711529
1,2434,2,956709679
1,3094,4,956713196
1,2439,4,956753886
1,3098,3,956713196
1,3099,3,956753060
1,961,4,956712023
1,968,5,956710005
1,969,4,956712724
1,2441,2,956712367
1,2442,3,956752338
1,971,5,956711123
1,2450,1,956755134
1,2454,3,956753112
1,2455,3,956717162
1,2456,2,956755038
1,986,3,956752131
1,988,2,956753853
1,3401,1,956755171
1,3408,4,956709679
1,2463,2,956717573
1,1809,4,956752539
1,2467,4,956716780
1,991,3,956753248
1,993,3,956752647
1,994,4,956712810
1,999,3,956716596
1,3412,4,956752647
1,1810,3,956752453
1,3418,4,956711684
1,2470,3,956753607
1,2472,2,956717573
1,2474,3,956752131
1,205,3,956752715
1,3421,2,956712023
1,3422,3,956717356
1,3424,4,956711048
1,3429,4,956711048
1,1827,5,956712981
1,2485,2,956710191
1,213,2,956710566
1,1831,2,956754994
1,3438,2,956709350
1,2490,4,956710005
1,2491,2,956710191
1,2492,1,956709453
1,223,4,956709578
1,3447,4,956711318
1,3448,3,956752936
1,3449,2,956753311
1,1846,2,956716559
1,230,3,956752677
1,231,1,956753966
1,232,4,956716596
1,235,4,956712724
1,241,3,956753607
1,1858,3,956753816
1,247,4,956711576
1,3461,4,956711642
1,2805,2,956709933
1,3462,5,956710730
1,2807,1,956755196
1,2808,3,956754941
1,1862,1,956755196
1,256,2,956755091
1,3471,5,956710566
1,2819,4,956712763
1,1872,3,956752487
1,1874,3,956711733
1,1876,3,956754761
1,260,5,956710703
1,261,3,956753607
1,262,4,956753417
1,265,1,956711193
1,269,3,956753647
1,3481,3,956752866
1,2826,1,956709453
1,2827,2,956709453
1,2828,2,956709679
1,1882,3,956755038
1,1883,4,956709350
1,1885,3,956711231
1,1888,1,956752936
1,272,3,956716596
1,3496,3,956752417
1,3498,4,956712724
1,3499,4,956712810
1,280,3,956753060
1,1897,3,956753417
1,281,3,956717719
1,282,3,956754004
1,2840,1,956710191
1,1101,3,956754097
1,2841,4,956710191
1,2842,2,956709526
1,1104,5,956711009
1,2848,4,956711576
1,292,2,956754036
1,293,4,956712367
1,298,4,956752514
1,299,4,956710067
1,2852,3,956717236
1,2857,4,956712599
1,2858,5,956709453
1,2859,4,956710871
1,1120,3,956753311
1,1125,4,956717269
1,2866,3,956716627
1,1127,4,956716780
1,2867,2,956717530
1,1129,3,956714644
1,2871,4,956714355
1,1132,4,956711283
1,2874,3,956717269
1,1135,3,956753607
1,1136,5,956711318
1,608,5,956710566
1,2881,2,956709631
1,2882,1,956709885
1,610,3,956753886
1,611,2,956755134
1,1148,5,956710521
1,616,3,956753853
1,1150,4,956711193
1,2890,4,956717123
1,2894,2,956753647
1,628,3,956716928
1,2100,3,956752783
1,2102,4,956712810
1,2104,3,956716928
1,2105,3,956754653
1,2108,3,956752647
1,2109,2,956717719
1,2112,4,956753311
1,2114,3,956752615
1,2115,2,956753886
1,2117,4,956752338
1,2118,4,956717269
1,1171,3,956714644
1,1176,4,956711318
1,1177,3,956753248
1,1179,4,956754448
1,649,3,956712981
1,2124,3,956753816
1,2125,4,956754196
1,1183,3,956717676
1,1185,4,956711684
1,1187,3,956716516
1,1188,3,956711193
1,2130,3,956712810
1,2137,3,956753311
1,1192,3,956710521
1,1193,5,956710766
1,1194,2,956752377
1,1196,5,956710521
1,1197,5,956712367
1,1198,5,956710483
1,1199,5,956711318
1,2140,4,956754710
1,2144,3,956753465
1,2147,2,956709578
1,671,4,956753725
1,674,3,956754761
1,2155,3,956717719
